Name,Subscribers,Videos,Description
Sailing PILAR - Blue Dot Voyages,487,75,"Sailing PILAR - Blue Dot Voyages is a Sailing channel sharing adventures of Dawn and Stephen Bell on SVPILAR, a 2015 ..."
Sailing Salacia Star,1240,139,Please join two boomers as we embark on our new chapter & how we manage life & family from our MacIntosh 47' sailboat ...
Sailing Britaly,32800,139,"Sailing Britaly ⛵ We are Chris (British), Rossella (Italian), and Emma (Britalian!) We make informative sailing videos with the aim ..."
Sailing SV ENZO,16,3,
Sailing Nomad Citizen,23700,111,Nomad Citizen is based on a sailboat sailing around the world. This is un unconventional voyage respecting seas and oceans of ...
Sailing Sv Wind Witch,4,1,
Sailing vessel Luxor,13400,38,If your interested in Sailing and sailing related videos this is the channel for you. My name is Mike and I live on my Leopard sailing ...
Sailing Learning By Doing,26700,193,"My name is Vernon, I'm a passionate observer, a life-long traveler and a seeker of adventure. I grew up In Motueka, New Zealand ..."
Distant Shores TV,95900,209,The Distant Shores sailing adventure travel TV series follows the global sailing adventures of award-winning travel documentary ...
Sailing Tangaroa,16300,48,"Hi we are James & Hannah and we live on board our 37ft James Wharram Catamaran Tangaroa (The Tanga), sailing around ..."
Expedition Drenched,131000,227,"Come Sailing with us! DRENCHED is our love story with the ocean. Join us as we sail, travel, and dive our way around the world!"
Sailing Island Rain,65,5,Sailing SV Island Rain. Island Rain is a Catalina 25 sailed on an inland lake of north Texas. Enjoy the journey of relaxation and ...
SV Vela Nautica,1300,24,"Hello Vela Nautica's Seaplorer! We are Oliver and Nesa, a German guy and a Filipina Girl from Philippines. We meet and fall in ..."
Sailing Zephyr,19800,134,"An adventurous couple from Australia who bought a sailboat on the other side of the world. With ZERO sailing experience, we are ..."
Expedition Evans,102000,84,"We're going to sail the world. But first we have to fix our newly purchased, salvaged 2008 Beneteau 49! It's going to be an long ..."
Sailing Ruby Rose,151000,332,"We have decided to sail the world. Yep, like many others. We sold up, rehoused the cats (that was such a wrench, we loved those ..."
SV Juliet,733,49,"Hi! We're LeeAnne & Charlie, a California couple who embarked on the adventure of a lifetime. We recently retired, chucked it all ..."
Sailing SV Gezgn,1280,20,"1994 yılından bu zamana kadar gelen tecrübelerimizin doğrultusunda, bu tecrübelerimizi size aktarma azmi ve isteğiyle, denize ..."
Sailing Steel Sapphire,323,15,"Follow the various adventures of Steel Sapphire and her current custodians - Pete, Jen and Dixie the cat."
SV Morgane,684,59,We are sailing around the world on a Van de Stadt 34' Almost 5 year on the way Follow us on: www.morgane.ch.
SV The Crooked Anchor,457,83,"Life is all about taking chances & living life with no regrets. We never want to say, ""I wished I had"" but instead we want to say, ..."
YouTube Sailing Channels,73,3,
SV Loki,47,9,"Hello! We are Trev, Lizzie and Aloy - a ragtag bunch on a mission to sail the world on our 43ft Morgan Center Cockpit. We are ..."
SV1 WildChild,NA,192,Sailing Adventure. We keep the channel focused on real sailing and try not to dwell too much on things like what we ate for dinner.
Unicorn Zombie,NA,1,
Let's Dance Sailing,7970,76,"Change of Pace: Our goal is to leave the land behind, set up home on a boat, cruise the oceans of the world and capture our ..."
Sampson Boat Co,400000,127,"I'm on a mission to rebuild a 109-year old English sailing yacht called Tally Ho. Designed by Albert Strange in 1909, she is a ..."
Sailing Trio Travels,78000,195,In 2015 we decided to sell almost everything we had in search of a simpler life. We traded it all for a life free of Big Box ...
Sailing On Finding Avalon,29200,116,"We are Jackson and Xanthe, a pair who met in an aprés-ski bar in the Snowy Mountains of Australia and instantly bonded over a ..."
Sailing Yottie,1010,10,"Hello and welcome! Kristina & Matt sailing on SV Yottie, a 38 ft Hallberg Rassy built in 1988 (HR382 # 64). Our plan is to sail the ..."
"SV Chineel, Junk-Rigged Schooner Sailing",279,44,"Chineel is a Bruce Roberts 36' Steel Spray, Junk-Rig Schooner. We've had her since 2015, in the Canary Islands. Currently in the ..."
Wind Hippie Sailing,52400,109,"This is not a sailing channel! Ok, so I'm single-handing through the Caribbean and making videos about it. BUT, I'm not here to tell ..."
Blue Moon Life,14000,87,"Hello, Welcome to SV Blue Moon, a 40 year old Catalina 30. The boat is now our home and so far we love it! Thanks so much for ..."
SV Isabel 2,10,14,Sailing Vessel Isabel 2. Follow her as a new captain take her on sailing adventures.
SV Island Thistle,103,44,"Sailing S/V Island Thistle, an Island Packet 32 hailing from Annapolis, Maryland."
s/v Field Trip,3030,65,"We are a sailing family of four, exploring the world on our 44 foot Antares catamaran - Field Trip. We homeschool our kids and are ..."
Little White Yacht Sailing,5,1,Sailing Vlogs www.facebook.com/littlewhiteyachtmaintenance.
The Adventures of Tarka,35300,51,"Without any sailing experience, and on a small budget, I quit my job to sail a tiny 27-foot sailboat named Tarka around the world."
Sailing MĀNUNU,489,46,"Not getting any Younger and Having Experienced Health Challenges, We Decided .... We Are Not Going to Keep Tip Toeing our ..."
Sail Vessel MAKARA,1,2,
sv ElliDa,8,28,Sailing in to the big blue.
Sailing Miss Lone Star,254000,229,"We travel this beautiful planet, mainly by sailboat and bring you films that I hope will inspire you, make you laugh and make you ..."
Cat Greatcircle,26400,536,Sailing around the world on our new Outremer 55 catamaran together with 30 other boats in the Grand Large Yachting World ...
Wilder Sailing,83,13,Update: We've sold Xocolate and have upgraded to a 2015 Beneteau 45. The boat is en route from Puerto Vallarta to our slip in ...
Sailing with the Litzenbergers,6900,134,We are Breena and Spencer (or Bee and Pickle if you watch our videos). We're a couple of vloggers who happen to live on a ...
SV Nademia,4,5,"NADEMIA is my new sailing yacht, she is a Trident Warrior 38 blue water cruiser and has already circumnavigated the world."
Adventures of an old Seadog,98100,366,This is the home of the exciting sailing and cruising adventure web series 'Adventures of an old Seadog' Gritty down to earth ...
Chase the Story,33100,56,Sailing Adventure: We are an American-British couple sailing around the world on our 44' catamaran Cheeky Monkey sharing the ...
Sailing Njord,21,3,
SV HideAway,1550,102,Join us on the SV HideAway as we explore Florida's West Coast seeking enlightenment on the course towards wisdom aboard a ...
sv capsud,11,4,sailing.
Sailing Lady Africa,27000,222,"We are a couple from sunny South Africa who decided to buy an old 1991 36.5ft Dean Sailing Catamaran, do a complete rebuild ..."
Sailing Double Trouble,2350,98,Sailing and Cruising the World is our passion! We are Jo and Rob and we are here to share our sailingadventures with you.
S.V. Helacious,8,4,Adventures aboard SV Helacious.
Sailboat Story,27200,223,"AHOY - We're Ben, Tambi, & Molly - a trio of sailors who are creating a sailing vlog series! Our mission is to show the world that ..."
SV Sailing Waiata,1,8,This site is really a journey through our lives. Connie and I decided to buy a catamaran a while ago and simply sail around for a bit ...
The Doodles Podcast,26200,28,
Sailing Gargoyle,1280,94,Sailing with Gargoyle! Welcome to the ongoing story of how two people are living their best lives as they sailthe world. While this ...
Sailing SV SeaHorse,141,27,In Constant Pursuit of a Great Sail and Experiencing Life By Sailboat. Subscribe and follow our journey!
Fun On Holiday Sailing,2890,143,"Zach and Lindy quit their jobs, sold most of their stuff, and moved onto their sailboat permanently for cruising. Follow along with us ..."
Barefoot Doctors Sailing,9790,68,
sv Velocir,5320,54,Albin Vega 27 Velocir is home to the Captains Howerton. We are a young couple navigating the cruising lifestyle as we sail ...
SV Linda Jane,130,13,"Tyler, 29. Working toward a simple life. Kiteboarder and professional Captain. Traveled full-time for four years until 2015 when I ..."
sailing to the unknown sv kung pao,4,3,Sailing.
S V Beautiful Day,40,9,Sailing and travel aboard Sailing Vessel Beautiful Day.
Sailing S/V Anigh Fall,12,6,"Sailboat refit, sailing yacht refit, sailing boat refit Anigh Fall was left in a field for 15+ years. We plan to refit her during 21-22 we will ..."
SV Ourper Diem,626,78,"Mid life crisis at ages 50 and 51. We just recently resigned from our career jobs, sold our home and we are buying a catamaran to ..."
Sailing with Thomas,14400,97,Sailing solo around the world in a Bavaria 55 Cruiser - S/Y Be Free. Most of the time sailing single handed and occasionally with ...
SV Little Knotty Sailing,NA,11,"More Adventures, Boat improvements and repairs Sailing a 42 plus year old Tanzer 26 and transforming it into a comfortable ..."
Plane Sailing,241,14,
Cruising Lealea,13300,459,Our goal has always been to challenge ourselves and our vessel and by so doing learn and grow; to share our experiences and ...
sailing quovadis ( 33`Moody S V ),6,7,
Sailing A B Sea,10100,267,"Thanks for dropping by, we're Aannsha & Barry the 'wet grey nomads'. We live full time on board our 1995 Jeanneau Sun ..."
SV Big Blue World,NA,1,This is the home of the soon to be coming sailing vessel Big Blue World.
Sailing Beautiful,50,7,"... in a small sailboat as a kid, I remembered thinking of how awesome it would be to cast the lines with a sailing vessel of my own."
SV Life Goes On,7,6,Videos of sailing aboard our Catalina 250 named Life Goes On.
Sailing Pluto,NA,63,"We live on a 36ft sailboat while working in our professions, and sailing South Africa's coast. Our original plan was to sail the Indian ..."
SV Aqua Bob,145,40,About Us Kate and I fell in love sailing and want to raise our child outside of the normal neighborhood and public schooling.
SV LadyHawk,2,7,
SV Thora Sailing,15,27,
Sailing Nala,2260,65,S/V Nala will not just show you how beautiful is the Earth you live in will also teach you how to explore magnificent places in an ...
Sailing Raphah,24,3,"Living out the dream of life on the water, our boat's name is Raphah, a Hebrew word for the concept of ""being still"" and being ..."
Easy Boat Cooking - SV Wind Waker,326,36,Hello. My name is Maribel and I love cooking and sailing. I hope that I will give you ideas to enjoy your stay in your favorite ...
Sailing SV Zara,51,24,"Sailing adventures aboard SV Zara, a 2016 Hanse 505. We used to sail on a 1984 Morgan Nelson Marek 454 of the same name."
Sv Dido. Sailing Albion's waters,36,14,The adventures of a single handed small yachtsman sailing around the coast of Albion on a shoestring budget. The mind of the ...
SV Accelerate,235,23,"Hi all, this is sailing vessel Accelerate. I'm Mark and i'll pleased to have my Jeanneau Sun Fast 32. This channel gives an ..."
What's Your Story S.V.,NA,49,"""What's Your Story"" is a sailing vessel which has an ongoing mission. The mission is to meet as many interesting people we can ..."
Sailing Kiwi,210,2,A channel for SV Kiwi as she makes her way around the globe. Creating videos for our friends and family so they can be apart of ...
Sailing Mystic Hearts,18,5,Sailing content from the crew of SV Mystic Hearts ⛵ Paul & Rebecca + 3 cats We sold our house and bought a 2005 Beneteau ...
Sailing Green Coconut Run,1210,43,The GreenCoconutRun is our sailing route along Protected Areas from California to New Zealand -- a variation of the famous ...
S/V Lusca,3120,64,"Nous sommes deux Canadiens, Québécois, qui avons décidé de changer notre mode de vie, naviguer l'océan sans connaitre le ..."
Navika Sailing,9760,53,"Ahoy, we're Alex and Lars. We live aboard our 37 foot sailboat, Navika, and are sailing full time as we teach yoga and meditation ..."
SV Almost Heaven,5,1,"Sailing Vessel Almost Heaven is a 28 foot O'Day Sailboat. You can participate in the experiences our family ( Brian, Andrea, and ..."
SV Maasen,2,8,Sailing SV Maasen.
sailing georgian bay,10,12,
Lazy Gecko Sailing & Adventures,149000,217,"Looking for something fun, wild and real?...You've come to the right place if so! This isn't your average YouTube sailing channel ..."
SV Nowhere Quick,34,39,I have been traveling and living aboard the Sailing Vessel Nowhere Quick for a year now! It's been an exciting and sometimes ...
Vet Tails' Sailing Chuffed,21400,141,"Follow our Adventures as we sail away and save animals all over the World!!! ⛵️ Join the Captain, Dr. Sheddy, on 'Chuffed ..."
SV Gabrielle,NA,1,Gabrielle is our Hanse 445 sailboat. 'SV' = Sailing Vessel. We had expected to leave for extended cruising in April 2020. Delayed ...
SV Green Panther,1510,38,"Hi, welcome to the Green Panther Sailing Channel! We are a couple exploring the world on our good old sailboat 'Green Panther' ..."
SV LIMA,364,11,Hello to SV LIMA! We own the sailing vessel LIMA - a Contest46S from 1990. We are doing professional vlogging and blogging ...
Hilma Sailing,27800,61,Welcome to Hilma sailing. Click on the Subscribe bottom to follow our journey! Please become a Patron!
Hold Fast!,6030,266,In 2013 I purchased a Cabo Rico 38 and haven't looked back since. This channel features sailing adventures that began on the ...
Sailing S/V Phantom,78,13,"Join us on our adventures aboard S/V Phantom, a 1969 Lidgard 32. Follow us as we navigate our way round some of New ..."
Sailing BreakNRun,133,20,Adventures traveling down the Intercoastal Waterway or the ICW. Last April my husband and I made a big decision to buy a ...
SV Sea Dreamer,2,1,"SV Sea Dreamer, 1984 Cherubini design 37c."
Sailing Mirounga,30,4,"Hi, we're Colin and Ailsa Burn-Murdoch, AKA SV Mirounga Leonina, or Mirounga for short. After 22 years together and 15 years of ..."
Oakley Sailing,6,8,Welcome to Oakley Sailing! About me & crew: I started my obsession with sailing not to long ago after moving to the PNW. My first ...
Cactus Sailing,2790,45,"Join Kenneth, Craig, the kids and a stinky mutt called Prince on board their 30ft sailing vessel called ""Sea Cactus"" We are based ..."
Maxxraven sv,51,13,Welcome Aboard ! Our 1987 34' Hunter sailboat. Were making a commitment to sailing the Great Lakes to sailing the Ocean.
SV Sweet Chariot,20,2,We are sailing the world starting from San Diego California living a dream. Hoping to inspire others to dream and live it. You do ...
SV In Like Flynn,851,119,"A sailing windsurfing trip from Philly to Chesapeake Bay with stops in OBX Hatteras, Aruba, Maui, and Lakes Bay in West Atlantic ..."
Sailing Adventures of SV Ducky,41,9,
Windward To Eden Sailing,943,85,"Documenting Our Sailing Journey From The Start. Starting at buying our first sailboat, repairs, sailing, and finally buying our ..."
Sailing Moana,1080,51,"How much does it REALLY cost to go cruising? Can you do it on a tight budget? Do you need to be rich? Is it possible to ""Go small ..."
Off The Starboard Hull,6730,69,Follow the sailing Catamaran “ MUSKOKA” as it sails around the world.
SV Come Monday,1,1,The adventures of the Sailing Vessel Come Monday. We live aboard about half time and on terra firma half time. These Vlogs ...
SV AKIA,235,118,SV AKIA is the fulfillment of a dream to move onto a sailboat and sail wherever our hearts desire (and the winds) take us. This is ...
SV Victory,4,14,Sailing a Seaward 24 in Florida.
Venture BC Sailing,358,26,"Follow Keanna on her cruising adventures with Venture BC and Venture BVI. A lifelong sailor, Keanna teaches sailing and runs ..."
SV HIERBABUENA,569,92,"Sailing around the World ! Well we, Luca and I, dont really have a clue if we ever will sail around the globe. But we are sailing ..."
S/V Full Send,791,120,"2 Military Veterans (USMA 2010) crazy enough to quit the 9-5 grind of the ""Real World"" and purse their dream of sailing around ..."
SV Sophie,37,12,"Sailing Sophie... a new home, a new adventure."
Sailing Blue Moon,2150,81,Hey! We are Dylan and Lauren. Longtime landlubbers with an itch for change; a deep desire to pursue an alternative lifestyle far ...
SV True Love,16,2,Welcome to the adventures of sailing vessel True Love. We will take you with us as we travel by wind and sail. Our journey begins ...
sv Sea Odyssey - Catch Our Drift,427,16,"Our personal mission: We want to see the world, have adventures, and meet the people of the world and their cultures, but more ..."
SV Firefly,36,12,A while back a good friend convinced me that sailing was not only affordable but was the most incredible adventure hobby out ...
Sailing Creo,13000,81,Buy a house? OR Sell everything and buy a boat? We set sail in 2016 in Greece with no sailing experience and no plans…
Sailing Luckyfish,22900,123,We are Stew and Zaya. We are sailing a beautiful catamaran that didn't cost the earth. We crossed the Atlantic from Sth Africa to ...
SV Sea Spirit,11,6,"A couple of 50 somethings sailing, laughing, making mistakes and learning A-Lot on a Sea Sprite 34."
Nomad Sailing,408,NA,We're sailing around the world! Join us (Paul & Myles) on our sail adventure as we travel through the Caribbean in our cruising ...
SV Sirenia,3,1,
Sailing Godspeed,24,4,This channel documents our journey from adventuring around and below the Puget Sound to setting sailaboard SV Godspeed ...
"SV SURPRISE - SAILING SMALL, SAILING NOW",4,4,"SV Surprise - Sailing Small, Sailing Now depicts the trials and tribulations of owning and refitting a small boat for distant shores."
Sailing With Renegade,113,4,
SV Time Bandit,308,49,"Cruising around the world on two hulls, our Outremer 51 and on two wheels, on whatever we can get our hands on at the time."
SV Rusty Junk,8180,45,
Sailing JAEKA,8840,60,"Hi there, Having left gray horizons we have moved on white fiberglass surface with constantly working natural A/C and everyday ..."
CSB Sailing,76,17,
Sailing Holly Blue,25500,53,Click the SUBSCRIBE button and the BELL to Follow our Journey ⛵️ Thank You Subscribers! For Following Us! Please ...
Sailing Kopelia,19,8,"Our adventures on S/V Kopelia, a Whitby 42 Ketch. Kopelia is Hull #5. She was built in 1973 by Whitby Boat Works, Ontario ..."
SV Soledad,30,5,"We have decided live according to our values and our passions sailing and agile methodologies. Soledad, our sailing vessel, will ..."
SV Licence to Chill,31,17,We are a family that is hoping to sail a catamaran from Europe to Australia and along the way enjoy some long needed freedom.
SV Sugar Pine,48,35,"Sailing SV Sugar Pine from SF bay area to Hawaii, around Hawaii, and back to bay area 2019."
SV Time Bandit,3,14,Cruising around the world when we should really be working!
S.V.Corycia,125,95,Two friends saved my sanity and bought me Corycia Corycia is a Halcyon 27 designed by Alan Buchanan and built in 1971.
Wiets - svRevelations,NA,6,Join our adventures as we sail around the world on board sailing vessel Revelations - a luxury catamaran built in South Africa.
Sailing Vinyasa,1330,91,"Follow our journey, living aboard our 40 ft sailboat, Vinyasa! We are Therese and Cody, and we met in Fiji...of course."
Sv Valhalla,1,1,Join me in the adventures of the sailing vessel Valhalla.
SV Talitha,496,118,This channel is documenting my restoration of Sailing Vessel Talitha. You can also support by purchasing items from our Amazon ...
Sailing Sea Globe,35800,71,Sailing Adventure family exploring the globe through photography and videography. join us on Sea Globe as we travel the Globe.
SV Ragnar,631,2,Sailing a Havsfidra 20 sailboat as far as possible.
SV CaptainC,41,9,Join me on my many adventures onboard various sailing vessels on the journey to 365 days at sea.
SV BOAT,2,29,"A couple's sailing adventure. Join us as we follow a dream, tossing our docklines for the cruising life onboard our 41' Hunter."
Second Wind,6,1,"We are Quyen and Sean, a Canadian couple who bought a sailboat without any experience in the hopes of eventually sailing ..."
SV Kaos,51,14,"Join SV Kaos as they discover their dream to sail around the world. They start their journey by learning how to sail, purchasing ..."
SV Bacchus 2,5,1,Channel for the Sailing Vessel Bacchus 2. Some adventures and sights form around Lake Huron from Lake St Clair to the North ...
Sailing Fata Morgana,15700,64,A family from Bulgaria and Canada sailing around the world on a 38-feet Leopard catamaran. These are short videos from our ...
SV Celtic Viking,14,1,A sailing channel devoted to the adventures of Captain Clint Johnson and Admiral Jenny Johnson on Sailing Vessel Celtic Viking ...
Learning the Lines,103000,216,This is a channel for sailors and/or people thinking about becoming sailors to be able to watch and learn as we go from knowing ...
SV Cash Flow,68,9,"Join me as I sail around the world alone on my 26ft boat, starting in November 2017 from Cape Town to Cape Town. You can help ..."
Sailing Family Adventures,208,10,We are professional SUP and Kiteboarding Athletes moving onto a 30-ft. 1985 Gemini 3000 Catamaran SVKai Mana in the ...
Sailing Alice May,249,4,"Neil, Jill, Martha & Sadie are an ordinary British Family who are embarking on a once in a lifetime adventure sailing around the ..."
Sailing Crazy Ivan,310,36,"This is our trip of a lifetime, to set out from the UK and sail down to New Zealand, taking in the World as we travel. We have no time ..."
Australian Sailing Expeditions,12,12,
Sailing Sports Channel 2018,7800,48,
SV. EL FARO,47,24,"SV EL FARO, Sailing in Vancouver Canada."
Sherry SV Hunter 32,50,19,SV Hunter 32 transcribes to Sailing Vessel and the type of sailboat I have - Hunter Vision 32. I'm an independent Women in my ...
SV PeterPan,12,18,Sailing adventures.
SV Tide Together,22,3,"Formerly Happy Together, we purchased the Hunter 49 in Aug 2016 and renamed her officially in December 2016."
SV BORN FREE,60,34,Live aboard sailing & travel lifestyle!
SV STARLIGHT,NA,1,Hi there! This channel is all about our adventures sailing on SV LORELEI. A few months back I bought this beautiful moody 29 and ...
Sailing Nova Satus,1530,31,"We are a homeschool family from Austin, Texas. We decided to move onto a sailboat, make our way around the world and call it ..."
SV MUFFIN,69,4,Peter Russell and Simon Brown Sailing Vessel MUFFIN 1975 Van De Stadt Oceaan 22.
S.V. Rhapsody,4,5,
SV Finesse,5,4,Sailing aboard Finesse.
Sailing SV Nina,1,3,"Velejando com SV Nina! História de um casal que ama viajar. Uma vida de muitas aventuras em campings, mergulhos, off road, ..."
Sailing Time Flies,1230,24,"Time Flies is a 33ft North Shore sailing vessel currently positioned at RBYC in Port Phillip Bay Melbourne Australia, it is owned ..."
SV Pirates Porch,NA,17,Follow us as we sail our O'Day 34 and explore the IBX of NC one adventure at a time...
s/v Silverheels,430,104,"This is a channel about our Rhodes 22 sailboat named Silverheels. The boat was originally manufactured in 1988, and was ..."
SV Brightstar,16,7,Sailing vessel Brightstar.
LaLa Libra,42100,161,"Laura from Sailing Doodles Traveling nurse, sailing around the world."
Sailing Characters,4,5,Coming soon - Family adventures on our Beneteau 46.1 http://sailingcharacters.com.
Sailing Hunk of Junk,13300,14,"Duncan and Chloe building a 38.8 Steel Bruce Roberts Voyager. We're amateurs based in Kent, UK and are filming everything as ..."
sv sequel,21,NA,Welcome to SV Sequel our personal sailing blog where we hope to share our journey with you! Join us as we progress from a ...
SV Charlotte Sailing,29,11,"Welcome to SV Charlotte Sailing! After finding out we are going to be grandparents for the first time, I went a little crazy and bought ..."
SV Acadian,583,93,"We would love your support, please click the Subscribe button!! SV Acadian is a 1995 Beneteau First 42s7 and we are a cruising ..."
Sailing Moneypenny,1240,48,"My channel to document my boating life.....to include purchases, projects, racing, cruising and general all around shenanigans."
Sailing SV Barefoot Adventures,85,21,The sailing adventures of a pirates journey in the Caribbean.
Sail Tulsi,18,11,Videos about live music on a sailboat.
SV Whish Sailing,7,13,Sailing on a 1975 Hallberg Rassey Rasmus 35ft Ketch (Whish) in the Gulf of Mexico (mostly NW Florida).
Moana Sailing,5520,23,Danish catamaran sailing the Pacific Ocean. Follow us here: www.sy-moana.com www.facebook.com/sejlereventyr ...
Sailing Adventures on SV Cadi,5,9,Short Videos of our adventure around Sydney on our yacht.
SV GITANA,109,10,"Gitana is a Hans Christian 33 sailboat, she's hull #28 and is currently located in Fajardo, Puerto Rico at Puerto del Rey Marina."
Joanna Patterson,4,3,We are a crazy kiwi family ⛵ having sailing adventures in our Cavalier 39 yacth SV Blue Dolphin. A believer life is what U make ...
SV Lolita,14,4,"Change! Sometime, dreams come true! I'm out here to test myself, to grow, to learn and realize a dream – to dig through this world ..."
SV Allegro,38,11,The Great Adventure in art and sailing.
SV Starfish,4,2,This is the unscripted journey of the sailing vessel Starfish - Amel Super Maramu 2000 #238. Owner and Captain Jeremy ...
Sailing Slow M'Ocean,1,1,"Hello Friends. We are Cory and Allisha aboard SV Slow M'Ocean, a '96 Catalina 400. This is a story of learning, adventure, sure ..."
SV Hot for Teacher,8,3,This is our journey from living in the mid-west to living on a sailboat in the Florida Keys.
SV Lazuli Adventures,28,6,Sailing and family adventures in the UAE.
EarleWrites,19800,168,Follow Lizbef and Leela as they make the change from sailboat to canalboat! A full boat restoration journey to live alternatively on ...
SV Shamal 6,7,6,Shamal 6 is a J24 and this channel will document how to sail and race a J24 successfully.
SV Booger,1160,8,"Come share the adventures with us as we sail our Hunter 410 in search of fun, sun and many laughs. We are a couple in our 60's ..."
S.V. Amigos,1,3,
SV Mingus,1060,25,SV Mingus explores the US coastal waterways and outward toward the Caribbean and now in 2021 has an additional purpose: ...
Sail-Travel-Explore. sv 'Spirit of Sobraon',34,16,Hi! And welcome to Sail-Travel-Explore. sv 'Spirit of Sobraon' Why another sailing channel? Lord knows there are enough of them ...
SV Carillian,14,4,"Hi, I'm Rory and DIY is a something I love being involved in. Over the years, and after having many different types of craft and ..."
SV Ruby Sails,17,9,Come with us as we sail Lake Michigan... and beyond?? This channel is for our family and friends to share in our adventures as ...
SV Trilogy,71,8,A couple of adventure seekers following our dream to explore the world on our 53' Amel sailboat Website: ...
Sailing svSomeday,416,41,Welcome to Sailing svSomeday. We are Steve and Darla and we know almost nothing about boats or sailing. We are the proud ...
SV Elusive,5,3,
"Sailing Wild One, voyage en catamaran",1200,59,"Voyage sur la planète mer. À la voile, dans un catamaran Voyage rapide au gré du vent Voyage voyage Voyage de Laura et ..."
SAILING DIJAN,236,11,
Sailing SV Tutto Bene,24,57,
SV Esprit Libre,26,8,Thanks for stopping by. My name is Robert and I love sailing and working on boats. I am currently partners in a Endeavour 32.
SV Fevre,47,9,"This is the Story of SV Fevre and her crew. SV Fevre became apart of my life when I met my now late husband Mike, and now her ..."
Sailing MV LadyLiselot,4080,21,"ENGLISH: Join me, Henk-Jan on Motor Vessel Lady Liselot. I am a liveabord on this 1980 50ft Blue Ocean #trawleryacht where I ..."
Donnelly Great Loop on SV Serenity,10,25,"Videos from the Donnelly Family trip around the Great Loop on our PDQ 36, Serenity."
RButch Sailing and Adventures,34,55,Showing off our home theater.
Barefoot Sailing Adventures,270000,154,"Bikinis, boats, music and FUN! Creating entertaining videos since 2018. Welcome aboard!"
La Vida a Vela - Sailing My Life,175000,100,"In life we all have to find our place. A place where you feel alive. A place that make sense of life. We are Noemi & Josep, we live in ..."
Solent Ships,24000,213,Ahoy Shipmate! Welcome to Solent Ships. This channel provides a window onto the Port of Southampton and beyond; offering ...
SV Nautilus,1,1,
